01224,066  ,0660076,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,ｱｽﾞｻ,北海道,千歳市,あずさ,0,0,1,0,1,2
13104,16307,1630706,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ6ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング６階,0,0,0,0,1,5
13104,16307,1630707,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ7ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング７階,0,0,0,0,1,5
13104,16307,1630708,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ8ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング８階,0,0,0,0,1,5
13104,16307,1630709,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ9ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング９階,0,0,0,0,1,5
13104,16307,1630710,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ10ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１０階,0,0,0,0,1,5
13104,16307,1630711,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ11ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１１階,0,0,0,0,1,5
13104,16307,1630712,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ12ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１２階,0,0,0,0,1,5
13104,16307,1630713,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ13ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１３階,0,0,0,0,1,5
13104,16307,1630714,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ14ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１４階,0,0,0,0,1,5
13104,16307,1630715,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ15ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１５階,0,0,0,0,1,5
13104,16307,1630716,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ16ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１６階,0,0,0,0,1,5
13104,16307,1630717,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ17ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１７階,0,0,0,0,1,5
13104,16307,1630718,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ18ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１８階,0,0,0,0,1,5
13104,16307,1630719,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ19ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１９階,0,0,0,0,1,5
13104,16307,1630720,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ20ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２０階,0,0,0,0,1,5
13104,16307,1630721,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ21ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２１階,0,0,0,0,1,5
13104,16307,1630722,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ22ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２２階,0,0,0,0,1,5
13104,16307,1630723,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ23ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２３階,0,0,0,0,1,5
13104,16307,1630724,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ24ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２４階,0,0,0,0,1,5
13104,16307,1630725,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ25ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２５階,0,0,0,0,1,5
13104,16307,1630726,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ26ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２６階,0,0,0,0,1,5
